ID;P4Edad;RegiónID;LugarEntrevista;Pc1ViveSC;Pc2ViveOtrasPersonas;Pc3RespondióAntes;Pc4RespondióCuestMeses;P10TiempoCalleAños;P10TiempoCalleMeses;P10TiempoCalleDías;P11EdadInicioCalle;P12RazónCalle;P13DurmióAnoche;P14DurmióAnocheLugar;P15AccesoAgua;P15AccesoDucha;P15AccesoWc;P16VecesCalle;P17ASaludVisual;P17BSaludAuditivo;P17CSaludCaminar;P17DSaludRecordar;P17ESaludAseo;P17FSaludEntender;P17GSaludSociable;P17HSaludMotricidad;P17ISaludTrabajar;P17JSaludDormir;P17KSaludRespirar;P17LSaludCuidarOtros;P18EnfCrónica;P19EnfCrónicaTrat;P20AConsumoAlcohol;P20BConsumoMarihuana;P20CConsumoPastaBase;P20DConsumoOtras;P21ProtocoloRsh;P22Indígena;P23AsisteEducac;P24Curso;P25TipoEducación;P26Trabaja;P27Contrato;P28IngresoTrabajo;P29IngresoJubilac;FechaCreación;RSH
26;45 a 59;Tarapacá;10;1;1;2;;10;0;0;48;1;2;5;2;2;2;5;3;1;1;4;3;3;1;1;2;5;5;1;2;;1;2;1;2;1;;;;;;;;;20211029;Tiene RSH
27;45 a 59;Tarapacá;7;1;1;2;;3;0;0;30;5;2;5;2;2;2;5;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;5;1;1;4;60000;0;20210902;Tiene RSH
28;18 a 44;Tarapacá;7;1;1;2;;0;0;30;24;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;2;2;1;2;150000;0;20210902;Tiene RSH
29;60 o mayor;Tarapacá;7;1;1;2;;20;;;;1;1;;3;3;2;;2;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;1;2;2;;;;20170101;Tiene RSH
30;45 a 59;Tarapacá;7;1;1;2;;1;0;0;18;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;4;2;1;4;200000;0;20211201;No tiene RSH
31;45 a 59;Tarapacá;7;1;1;2;;8;0;0;40;6;1;;2;2;2;5;3;3;1;3;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;0;2;5;2;1;4;40000;0;20210908;Tiene RSH
32;18 a 44;Tarapacá;4;1;1;2;;13;;;;1;1;;1;2;2;;2;2;2;2;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20170101;No tiene RSH
33;18 a 44;Tarapacá;10;1;1;2;;1;;;;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20180406;Tiene RSH
34;45 a 59;Tarapacá;7;1;1;2;;1;0;0;30;1;1;;2;2;2;5;4;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;0;2;0;1;1;2;60000;0;20211130;No tiene RSH
35;45 a 59;Tarapacá;6;1;1;2;;3;;;48;1;1;;1;1;1;;1;1;3;2;3;1;1;3;1;1;4;1;1;2;1;2;1;2;;;;;;;;;;20191022;Tiene RSH
36;45 a 59;Tarapacá;6;1;1;2;;7;;;;5;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;;;;;;;;;;20191021;Tiene RSH
37;18 a 44;Tarapacá;7;1;1;2;;20;0;0;18;1;1;;2;2;2;5;1;1;1;1;4;1;1;1;1;1;1;1;1;2;1;1;1;1;2;0;2;4;2;2;;;0;20211125;Tiene RSH
38;60 o mayor;Tarapacá;7;1;1;2;;3;;;;6;1;;3;3;2;;3;2;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
39;45 a 59;Tarapacá;1;1;1;2;;15;0;0;28;1;1;;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;0;2;1;2;1;4;200000;0;20210907;Tiene RSH
40;18 a 44;Tarapacá;7;1;1;2;;7;0;0;14;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;2;0;2;1;2;1;4;200000;0;20210927;Tiene RSH
41;45 a 59;Tarapacá;7;1;1;1;2;17;0;0;34;1;1;;2;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;0;2;3;2;1;4;20000;0;20210910;Tiene RSH
42;18 a 44;Tarapacá;4;1;1;2;;1;;;8;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20171124;Tiene RSH
