ID;P4Edad;RegiónID;LugarEntrevista;Pc1ViveSC;Pc2ViveOtrasPersonas;Pc3RespondióAntes;Pc4RespondióCuestMeses;P10TiempoCalleAños;P10TiempoCalleMeses;P10TiempoCalleDías;P11EdadInicioCalle;P12RazónCalle;P13DurmióAnoche;P14DurmióAnocheLugar;P15AccesoAgua;P15AccesoDucha;P15AccesoWc;P16VecesCalle;P17ASaludVisual;P17BSaludAuditivo;P17CSaludCaminar;P17DSaludRecordar;P17ESaludAseo;P17FSaludEntender;P17GSaludSociable;P17HSaludMotricidad;P17ISaludTrabajar;P17JSaludDormir;P17KSaludRespirar;P17LSaludCuidarOtros;P18EnfCrónica;P19EnfCrónicaTrat;P20AConsumoAlcohol;P20BConsumoMarihuana;P20CConsumoPastaBase;P20DConsumoOtras;P21ProtocoloRsh;P22Indígena;P23AsisteEducac;P24Curso;P25TipoEducación;P26Trabaja;P27Contrato;P28IngresoTrabajo;P29IngresoJubilac;FechaCreación;RSH
2581;18 a 44;Coquimbo;7;1;1;2;;3;;;22;2;2;5;1;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;0;2;4;2;1;4;100000;;20170101;Tiene RSH
2582;45 a 59;Coquimbo;7;1;1;2;;2;0;0;35;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211027;Tiene RSH
2583;60 o mayor;Coquimbo;10;1;1;2;;10;0;0;20;2;2;6;2;2;2;5;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;0;2;4;2;2;;;176000;20211118;Tiene RSH
2584;45 a 59;Coquimbo;6;1;1;2;;2;;;7;1;1;5;3;3;2;;1;1;1;3;1;1;1;1;1;4;1;1;2;;1;2;1;2;1;;;;;;;;;20170101;Tiene RSH
2585;18 a 44;Coquimbo;7;1;1;2;;2;0;0;2;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;0;6;2;;;0;20211110;Tiene RSH
2586;60 o mayor;Coquimbo;2;1;1;2;;10;0;0;12;1;1;;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210707;Tiene RSH
2587;18 a 44;Coquimbo;2;1;1;2;;1;0;0;22;1;1;;1;1;1;2;4;1;1;3;1;1;1;1;1;3;1;1;1;1;2;2;2;2;1;;;;;;;;;20210623;Tiene RSH
2588;18 a 44;Coquimbo;6;1;1;2;;;;14;15;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20170101;Tiene RSH
2589;45 a 59;Coquimbo;7;1;1;2;;20;0;0;18;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20211018;Tiene RSH
2590;18 a 44;Coquimbo;6;1;1;2;;1;0;0;16;1;1;;1;1;1;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20210617;Tiene RSH
2591;45 a 59;Coquimbo;7;1;1;2;;7;0;0;33;5;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20210617;Tiene RSH
2592;18 a 44;Coquimbo;2;1;1;2;;10;0;0;33;5;1;;1;1;1;5;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;1;1;;;;;;;;;20220330;Tiene RSH
2593;45 a 59;Coquimbo;7;1;1;2;;5;;;;1;1;;3;3;2;;1;1;1;1;2;1;1;1;3;3;1;1;1;1;1;2;2;2;2;0;2;4;2;2;;;;20170101;Tiene RSH
2594;45 a 59;Coquimbo;6;1;1;2;;;1;;45;1;1;;1;1;1;;2;2;2;3;1;1;1;1;1;3;2;1;1;1;1;1;1;2;1;;;;;;;;;20180618;Tiene RSH
2595;18 a 44;Coquimbo;2;1;1;2;;6;0;0;26;1;1;;1;1;1;1;2;2;3;4;1;2;2;1;1;3;2;1;1;1;1;1;1;2;1;;;;;;;;;20210708;Tiene RSH
2596;45 a 59;Coquimbo;7;1;1;2;;4;0;0;43;1;1;;2;2;2;5;6;6;6;6;6;6;6;6;6;6;6;6;2;;2;2;2;2;1;;;;;;;;;20210617;Tiene RSH
2597;18 a 44;Coquimbo;12;1;1;2;;20;0;0;18;1;1;;1;1;1;5;2;1;2;1;2;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210225;Tiene RSH
2598;45 a 59;Coquimbo;7;1;1;2;;1;0;0;8;1;1;;2;2;2;5;1;1;1;1;1;1;4;1;1;1;1;1;2;;2;1;1;1;2;0;2;2;2;2;;;0;20211022;Tiene RSH
2599;18 a 44;Coquimbo;7;1;1;2;;33;0;0;15;7;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210525;Tiene RSH
2600;45 a 59;Coquimbo;7;1;2;2;;10;0;0;45;5;1;;2;2;2;5;3;4;1;1;1;2;3;3;2;1;1;2;2;;1;1;2;2;1;;;;;;;;;20210519;Tiene RSH
2601;18 a 44;Coquimbo;6;1;1;2;;32;0;0;11;5;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20211005;Tiene RSH
2602;18 a 44;Coquimbo;10;1;2;2;;4;0;0;11;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20211018;Tiene RSH
2603;45 a 59;Coquimbo;6;1;1;2;;1;;;;9;1;;1;1;1;;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20180816;Tiene RSH
2604;18 a 44;Coquimbo;7;1;1;2;;5;0;0;13;1;1;;2;2;2;5;1;3;1;1;1;1;1;1;1;3;1;1;2;;1;1;2;2;2;0;2;3;1;1;2;150000;0;20211029;Tiene RSH
2605;60 o mayor;Coquimbo;2;1;1;2;;7;0;0;55;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210923;Tiene RSH
2606;18 a 44;Coquimbo;7;1;1;2;;0;8;2;23;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;2;0;2;2;2;2;;;170000;20211022;Tiene RSH
2607;18 a 44;Coquimbo;7;1;2;1;2;10;0;0;32;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20211025;Tiene RSH
2608;18 a 44;Coquimbo;7;1;2;1;2;;6;;31;2;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;1;;;;;;;0;0;20170818;Tiene RSH
2609;18 a 44;Coquimbo;2;1;1;2;;0;6;0;43;1;1;;1;1;1;4;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;1;;;;;;;;;20220330;Tiene RSH
2610;60 o mayor;Coquimbo;6;1;1;2;;2;;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20181009;Tiene RSH
2611;45 a 59;Coquimbo;7;1;1;2;;15;0;0;25;1;1;;1;1;1;5;3;1;3;3;1;1;1;1;1;3;1;1;2;;1;1;2;2;1;;;;;;;;;20210617;Tiene RSH
2612;18 a 44;Coquimbo;7;1;1;2;;0;11;0;33;5;1;;2;2;2;5;1;1;1;1;1;1;2;1;2;1;1;1;2;;1;2;1;2;1;;;;;;;;;20210205;Tiene RSH
2613;60 o mayor;Coquimbo;10;1;1;2;;4;0;0;59;1;1;;2;2;2;5;2;2;2;1;1;1;1;1;2;1;1;2;1;1;1;1;2;2;1;;;;;;;;;20201123;Tiene RSH
2614;18 a 44;Coquimbo;7;1;1;2;;3;5;0;30;5;2;6;1;1;1;5;1;2;1;4;1;2;1;1;1;5;1;1;2;;2;1;1;2;1;;;;;;;;;20211020;Tiene RSH
2615;60 o mayor;Coquimbo;6;1;1;2;;30;0;0;32;1;1;;1;1;1;5;2;3;4;2;3;1;1;2;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211005;Tiene RSH
2616;18 a 44;Coquimbo;10;1;1;2;;5;2;4;28;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20220309;Tiene RSH
2617;18 a 44;Coquimbo;7;1;1;2;;17;;;13;7;1;;1;2;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;;;2;0;2;7;1;1;4;150000;;20170101;Tiene RSH
2618;18 a 44;Coquimbo;7;1;2;1;2;30;0;0;10;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20211025;Tiene RSH
2619;18 a 44;Coquimbo;1;1;1;2;;14;0;0;20;1;1;;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20210820;Tiene RSH
2620;60 o mayor;Coquimbo;10;1;1;2;;3;0;0;57;5;2;5;1;1;1;5;3;2;4;4;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20210820;Tiene RSH
2621;18 a 44;Coquimbo;6;1;1;2;;1;0;0;25;5;2;4;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210524;Tiene RSH
2622;45 a 59;Coquimbo;7;1;1;1;2;1;0;0;51;1;2;5;2;2;2;5;1;2;3;1;5;1;1;2;1;2;2;1;1;2;1;2;2;2;1;;;;;;;;;20210523;Tiene RSH
2623;18 a 44;Coquimbo;7;1;2;2;;0;3;11;34;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20211020;Tiene RSH
2624;18 a 44;Coquimbo;6;1;1;2;;6;;;;1;1;4;1;1;1;;2;1;3;2;1;1;1;1;1;4;1;1;2;;1;2;1;2;1;;;;;;;;;20170101;Tiene RSH
2625;18 a 44;Coquimbo;6;1;2;1;2;1;0;0;31;5;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211026;Tiene RSH
2626;.;Coquimbo;6;1;2;2;;0;10;0;12;5;1;;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211026;Tiene RSH
2627;.;Coquimbo;7;1;1;2;;9;0;0;30;1;1;;2;2;2;5;3;3;1;2;1;1;1;1;1;1;4;1;1;2;1;1;1;2;1;;;;;;;;;20211116;No tiene RSH
2628;.;Coquimbo;6;1;1;2;;0;10;0;74;1;1;;1;1;1;1;3;1;1;2;1;1;1;3;3;3;1;3;1;1;2;2;2;2;1;;;;;;;;;20211005;Tiene RSH
2629;.;Coquimbo;10;1;2;2;;5;0;0;5;3;2;4;1;1;1;1;3;4;1;3;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20210708;Tiene RSH
2630;.;Coquimbo;7;1;2;2;;10;;;;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;;;;;;;;;;20181127;Tiene RSH
2631;.;Coquimbo;10;1;1;2;;5;0;0;63;1;1;;1;1;1;5;2;2;2;3;2;2;1;1;3;2;2;1;2;;2;2;2;2;1;;;;;;;;;20210927;Tiene RSH
2632;.;Coquimbo;2;1;1;2;;0;2;0;12;2;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20220330;Tiene RSH
2633;.;Coquimbo;7;1;2;2;;0;7;0;26;1;1;;2;2;2;5;1;1;1;2;3;1;4;1;6;3;1;3;2;;1;1;2;2;2;0;2;4;2;2;;;0;20211116;Tiene RSH
2634;.;Coquimbo;7;1;1;2;;6;;;14;1;1;;3;3;2;;1;1;1;2;1;1;1;1;1;3;1;1;2;;1;1;1;2;1;;;;;;;;;20181008;Tiene RSH
2635;.;Coquimbo;7;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;20190722;Tiene RSH
2636;.;Coquimbo;7;1;1;2;;20;3;2;9;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;0;2;4;2;1;4;40000;0;20211022;Tiene RSH
2637;.;Coquimbo;7;1;2;2;;5;0;0;36;1;1;;2;2;2;5;4;1;1;4;4;4;4;4;4;4;4;4;1;1;1;2;2;2;2;0;2;7;1;2;;;0;20211109;Tiene RSH
2638;.;Coquimbo;6;1;2;2;;1;;;20;1;1;;1;1;1;;2;2;1;3;1;2;1;1;5;5;1;4;1;1;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
2639;.;Coquimbo;7;;;;;2;;;;2;1;;1;2;2;;2;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;8;1;1;4;50000;;20170101;Tiene RSH
2640;.;Coquimbo;6;1;1;2;;3;;;;1;1;;1;1;1;;3;1;3;3;1;1;1;1;1;1;1;1;2;;2;1;2;2;1;;;;;;;;;20171023;Tiene RSH
2641;.;Coquimbo;5;1;1;2;;41;;;19;2;1;;1;1;1;;1;1;1;4;1;3;3;1;3;4;1;1;1;1;1;1;1;1;1;;;;;;;;;20170101;Tiene RSH
2642;.;Coquimbo;7;1;2;1;2;;6;;21;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;0;0;20170818;Tiene RSH
2643;.;Coquimbo;7;1;2;2;;6;0;0;15;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20211018;Tiene RSH
2644;.;Coquimbo;10;1;2;2;;2;0;0;14;1;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;;;;;;;;;20210708;Tiene RSH
2645;.;Coquimbo;7;1;1;2;;6;;;;1;1;;3;3;2;;1;1;1;3;1;1;2;1;1;3;1;1;1;1;1;2;1;2;1;;;;;;;;;20180406;Tiene RSH
2646;.;Coquimbo;12;1;1;2;;1;0;0;36;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211020;Tiene RSH
2647;.;Coquimbo;7;1;2;2;;5;0;0;43;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;1;2;1;;;;;;;;;20211018;Tiene RSH
2648;.;Coquimbo;7;1;2;2;;6;0;0;38;1;1;;1;2;2;5;1;3;1;1;1;1;1;1;1;3;3;1;1;2;1;2;1;2;1;;;;;;;;;20211018;Tiene RSH
2649;.;Coquimbo;7;1;2;2;;1;0;0;15;5;1;;2;2;2;5;3;3;3;1;1;3;1;1;3;1;3;1;2;;1;2;2;2;1;;;;;;;;;20210523;Tiene RSH
2650;.;Coquimbo;7;1;1;2;;3;0;0;40;1;1;;2;2;2;5;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;;;;;;;;;20211018;Tiene RSH
2651;.;Coquimbo;2;1;1;2;;8;0;0;55;5;1;;2;2;2;5;4;1;4;1;1;1;1;4;2;1;4;1;2;;1;2;1;2;1;;;;;;;;;20210923;Tiene RSH
2652;.;Coquimbo;6;1;1;1;2;10;0;0;19;2;1;;1;1;1;5;2;1;3;1;1;2;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210820;Tiene RSH
2653;.;Coquimbo;6;1;1;2;;0;2;0;45;1;2;4;1;1;1;3;1;3;1;4;1;1;3;1;2;1;1;1;1;1;2;2;2;2;2;0;2;8;1;2;;;287000;20211022;Tiene RSH
2654;.;Coquimbo;7;1;1;2;;15;0;0;20;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210225;Tiene RSH
2655;.;Coquimbo;7;1;1;2;;7;;;32;2;1;;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;2;2;;;2;2;2;2;0;2;4;2;2;;;;20170101;Tiene RSH
2656;.;Coquimbo;6;1;1;2;;1;;;;1;1;;1;2;2;;3;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;;;;;;;;;;20180724;Tiene RSH
2657;.;Coquimbo;2;1;2;2;;9;0;0;7;7;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;;;;;;;;;20211018;Tiene RSH
2658;.;Coquimbo;7;1;2;1;2;12;0;0;28;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20211020;Tiene RSH
2659;.;Coquimbo;7;1;1;2;;1;0;0;40;1;2;5;2;2;2;5;1;2;2;1;1;2;2;2;2;1;2;1;1;1;1;2;1;2;2;4;2;2;2;2;;;0;20211103;Tiene RSH
2660;.;Coquimbo;12;1;1;2;;0;3;0;60;4;1;;1;1;1;3;4;1;3;1;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2;0;2;5;3;2;;;58000;20220225;Tiene RSH
2661;.;Coquimbo;7;1;1;2;;2;;;47;9;1;5;1;3;2;;2;1;1;2;1;1;1;1;1;2;2;1;2;2;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
2662;.;Coquimbo;10;1;1;2;;2;0;0;33;5;2;4;1;1;1;5;3;3;2;2;1;1;1;3;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210820;Tiene RSH
2663;.;Coquimbo;10;1;1;2;;0;2;0;57;2;1;;2;2;2;5;1;4;3;3;3;4;1;1;1;5;1;1;2;;2;2;2;2;1;;;;;;;;;20210523;Tiene RSH
2664;.;Coquimbo;6;1;1;2;;4;0;0;22;1;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210225;Tiene RSH
2665;.;Coquimbo;7;1;1;1;2;10;0;0;13;1;1;;2;2;2;5;3;1;1;2;1;2;1;1;1;2;4;2;1;1;2;2;2;2;1;;;;;;;;;20210524;Tiene RSH
2666;.;Coquimbo;2;1;1;2;;0;6;0;15;1;1;;1;1;1;5;1;1;1;2;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210820;Tiene RSH
2667;.;Coquimbo;10;1;1;2;;20;0;0;30;5;2;1;1;1;1;2;2;4;4;4;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;;;;;;;;;20210708;Tiene RSH
2668;.;Coquimbo;2;1;1;2;;0;3;0;58;3;1;;1;1;1;5;3;1;5;1;1;1;1;3;5;2;2;1;1;1;2;2;2;2;2;0;2;7;1;2;;;150000;20211108;Tiene RSH
2669;.;Coquimbo;2;1;1;2;;4;0;0;17;4;1;;2;2;2;3;3;1;3;1;2;1;1;1;1;3;3;1;1;1;1;2;1;2;1;;;;;;;;;20210923;Tiene RSH
2670;.;Coquimbo;6;1;2;2;;9;0;0;37;1;1;;1;1;1;5;3;2;4;1;1;1;1;1;3;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211220;Tiene RSH
2671;.;Coquimbo;7;1;1;2;;;;7;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20180124;Tiene RSH
2672;.;Coquimbo;10;1;2;2;;1;0;0;32;5;1;;1;1;1;5;2;1;4;1;3;1;1;1;4;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210524;Tiene RSH
2673;.;Coquimbo;2;1;1;2;;0;4;0;38;1;2;5;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;;;;;;;;;20210923;Tiene RSH
2674;.;Coquimbo;7;1;1;2;;1;;;15;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;;0;2;4;1;2;;0;0;20200421;Tiene RSH
2675;.;Coquimbo;10;1;1;1;2;1;0;0;41;6;1;;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211020;Tiene RSH
2676;.;Coquimbo;7;1;1;2;;2;0;0;24;1;1;;2;2;2;5;4;1;1;2;1;1;1;1;1;1;1;1;2;;2;1;1;1;1;;;;;;;;;20211223;Tiene RSH
2677;.;Coquimbo;7;1;2;2;;15;0;0;13;1;2;5;2;2;2;5;3;1;2;3;1;1;1;1;1;3;1;1;2;;1;1;2;2;1;;;;;;;;;20210825;Tiene RSH
2678;.;Coquimbo;7;1;1;2;;0;2;0;43;5;2;5;2;2;2;5;1;1;3;3;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;;;;;;;;;20220317;Tiene RSH
2679;.;Coquimbo;7;1;2;2;;2;0;0;15;5;1;;2;2;2;5;1;1;1;4;1;1;4;1;1;4;3;1;2;;1;2;1;1;1;;;;;;;;;20210825;Tiene RSH
2680;.;Coquimbo;10;1;1;2;;0;7;0;41;1;1;;2;2;2;5;1;1;3;1;1;1;1;1;4;1;1;1;1;1;1;2;2;2;1;;;;;;;;;20210824;Tiene RSH
2681;.;Coquimbo;7;1;1;2;;5;0;0;11;1;1;;2;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;1;1;1;;;;;;;;;20211223;Tiene RSH
2682;.;Coquimbo;7;1;1;2;;20;10;21;50;1;1;;3;3;2;;3;1;2;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;;0;2;666;1;2;;3333,333333;0;20200420;Tiene RSH
2683;.;Coquimbo;7;1;1;2;;4;;;30;1;1;;3;3;1;;2;2;2;3;1;1;1;1;1;1;1;1;1;1;2;2;2;2;;0;2;1;1;2;;0;120000;20200422;Tiene RSH
2684;.;Coquimbo;7;1;1;2;;;8;;59;2;1;;1;2;2;;1;3;2;1;1;1;1;1;1;4;1;1;2;;1;2;2;2;;;;;;;;;;20200507;Tiene RSH
2685;.;Coquimbo;7;1;1;2;;4;11;2;48;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210804;Tiene RSH
2686;.;Coquimbo;10;1;1;2;;10;1;21;44;1;1;;1;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;;;;;;;;;;20200603;Tiene RSH
2687;.;Coquimbo;7;1;1;2;;2;11;28;51;1;1;;2;2;2;5;1;1;1;1;1;1;2;1;2;1;1;1;2;;1;1;2;2;1;;;;;;;;;20210804;Tiene RSH
2688;.;Coquimbo;7;1;2;1;2;25;3;2;19;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;;;;;;;;;20210805;Tiene RSH
2689;.;Coquimbo;10;1;1;1;2;2;8;11;19;1;1;;2;2;2;5;1;1;1;1;3;1;3;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210818;Tiene RSH
2690;.;Coquimbo;7;1;2;1;2;17;1;1;20;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;;;;;;;;;20210805;Tiene RSH
2691;.;Coquimbo;2;1;2;2;;3;9;6;22;5;1;;2;2;2;5;1;1;2;1;1;1;1;1;1;1;1;1;2;;1;2;1;1;1;;;;;;;;;20211025;Tiene RSH
2692;.;Coquimbo;7;1;1;2;;9;0;0;35;1;2;5;2;2;2;5;1;1;1;2;4;2;2;2;4;2;2;2;2;;1;2;2;2;1;;;;;;;;;20210802;Tiene RSH
2693;.;Coquimbo;10;1;1;2;;2;0;0;45;1;2;5;1;1;1;5;4;1;3;3;3;1;1;3;3;3;3;3;1;2;1;2;2;2;1;;;;;;;;;20201016;Tiene RSH
2694;.;Coquimbo;10;1;2;2;;20;0;0;15;1;2;5;2;2;2;5;3;1;3;1;3;3;3;3;6;3;3;3;2;;1;1;2;2;1;;;;;;;;;20210702;Tiene RSH
2695;.;Coquimbo;7;1;1;2;;20;0;0;25;1;1;;2;2;2;5;3;1;1;3;4;1;1;1;3;4;1;2;1;1;2;1;2;2;1;;;;;;;;;20210903;Tiene RSH
2696;.;Coquimbo;7;1;2;2;;0;9;0;41;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20220304;Tiene RSH
2697;.;Coquimbo;10;1;2;2;;1;0;0;60;1;2;5;2;2;2;5;1;1;1;1;4;1;1;1;1;4;1;1;2;;2;2;2;2;1;;;;;;;;;20210802;Tiene RSH
2698;.;Coquimbo;10;1;1;2;;43;0;0;15;1;2;5;2;2;2;5;1;5;2;2;5;2;2;2;5;2;2;2;2;;2;2;2;2;2;0;2;4;2;2;;0;0;20201005;Tiene RSH
2699;.;Coquimbo;7;1;2;2;;10;5;2;16;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;4;1;1;2;;1;1;1;1;1;;;;;;;;;20210816;Tiene RSH
2700;.;Coquimbo;7;1;2;2;;3;0;0;29;1;1;;2;2;2;5;1;1;1;1;5;3;3;3;5;3;1;1;2;;1;2;2;2;1;;;;;;;;;20210903;Tiene RSH
2701;.;Coquimbo;10;1;1;2;;1;11;0;43;1;1;;2;2;2;5;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20210709;Tiene RSH
2702;.;Coquimbo;12;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20180810;Tiene RSH
2703;.;Coquimbo;10;1;1;2;;1;8;0;25;1;2;5;2;2;2;5;1;1;1;3;4;1;1;1;1;3;1;1;1;2;1;1;1;2;1;;;;;;;;;20210325;Tiene RSH
2704;.;Coquimbo;10;1;1;2;;0;2;0;31;1;1;;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;2;;1;1;1;2;1;;;;;;;;;20220314;Tiene RSH
2705;.;Coquimbo;10;1;1;2;;11;0;0;31;1;2;5;2;2;2;5;1;1;1;1;2;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20210802;Tiene RSH
2706;.;Coquimbo;7;1;1;1;2;12;0;0;33;1;1;;1;2;2;5;1;1;1;2;4;1;1;1;3;2;2;1;2;;1;2;2;2;2;0;2;4;2;2;;;0;20210916;Tiene RSH
2707;.;Coquimbo;7;1;1;2;;0;0;20;41;2;1;;1;1;1;4;1;1;1;1;1;1;1;1;1;3;1;1;2;;2;2;2;2;1;;;;;;;;;20220225;Tiene RSH
2708;.;Coquimbo;12;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;20200113;Tiene RSH
2709;.;Coquimbo;10;1;1;2;;0;4;0;31;1;1;;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;;;;;;;;;20211222;Tiene RSH
2710;.;Coquimbo;7;1;2;1;2;2;0;0;19;1;1;;2;2;2;5;3;2;1;1;4;1;1;1;3;3;1;1;1;2;1;2;2;2;2;0;2;6;1;2;;;0;20210916;Tiene RSH
2711;.;Coquimbo;2;1;1;2;;1;5;0;39;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;1;;;;;;;;;20210802;Tiene RSH
2712;.;Coquimbo;10;1;1;1;2;2;0;0;22;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;2;0;2;4;2;2;;;0;20210419;Tiene RSH
2713;.;Coquimbo;10;1;1;2;;5;0;0;44;1;1;;2;2;2;5;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20200821;Tiene RSH
